datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable
1/1/2023 4:00:00 AM,12/31/2022 11:00:00 PM,Coal,11858,0.150,False
1/1/2023 4:00:00 AM,12/31/2022 11:00:00 PM,Gas,27933,0.340,False
1/1/2023 4:00:00 AM,12/31/2022 11:00:00 PM,Hydro,1007,0.010,True
1/1/2023 4:00:00 AM,12/31/2022 11:00:00 PM,Multiple Fuels,3,0.000,False
1/1/2023 4:00:00 AM,12/31/2022 11:00:00 PM,Nuclear,33971,0.420,False
1/1/2023 4:00:00 AM,12/31/2022 11:00:00 PM,Oil,226,0.000,False
1/1/2023 4:00:00 AM,12/31/2022 11:00:00 PM,Other,180,0.000,False
1/1/2023 4:00:00 AM,12/31/2022 11:00:00 PM,Other Renewables,627,0.010,True
1/1/2023 4:00:00 AM,12/31/2022 11:00:00 PM,Solar,8,0.000,True
1/1/2023 4:00:00 AM,12/31/2022 11:00:00 PM,Storage,0,0.000,False
1/1/2023 4:00:00 AM,12/31/2022 11:00:00 PM,Wind,5855,0.070,True
1/1/2023 3:00:00 AM,12/31/2022 10:00:00 PM,Coal,11807,0.140,False
1/1/2023 3:00:00 AM,12/31/2022 10:00:00 PM,Gas,30058,0.360,False
1/1/2023 3:00:00 AM,12/31/2022 10:00:00 PM,Hydro,1035,0.010,True
1/1/2023 3:00:00 AM,12/31/2022 10:00:00 PM,Multiple Fuels,3,0.000,False
1/1/2023 3:00:00 AM,12/31/2022 10:00:00 PM,Nuclear,33965,0.410,False
1/1/2023 3:00:00 AM,12/31/2022 10:00:00 PM,Oil,231,0.000,False
1/1/2023 3:00:00 AM,12/31/2022 10:00:00 PM,Other,180,0.000,False
1/1/2023 3:00:00 AM,12/31/2022 10:00:00 PM,Other Renewables,653,0.010,True
1/1/2023 3:00:00 AM,12/31/2022 10:00:00 PM,Solar,8,0.000,True
1/1/2023 3:00:00 AM,12/31/2022 10:00:00 PM,Storage,0,0.000,False
1/1/2023 3:00:00 AM,12/31/2022 10:00:00 PM,Wind,5346,0.060,True
1/1/2023 2:00:00 AM,12/31/2022 9:00:00 PM,Coal,11954,0.140,False
1/1/2023 2:00:00 AM,12/31/2022 9:00:00 PM,Gas,31201,0.360,False
1/1/2023 2:00:00 AM,12/31/2022 9:00:00 PM,Hydro,2095,0.020,True
1/1/2023 2:00:00 AM,12/31/2022 9:00:00 PM,Multiple Fuels,3,0.000,False
1/1/2023 2:00:00 AM,12/31/2022 9:00:00 PM,Nuclear,33954,0.400,False
1/1/2023 2:00:00 AM,12/31/2022 9:00:00 PM,Oil,214,0.000,False
