datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable
12/1/2022 4:00:00 AM,11/30/2022 11:00:00 PM,Coal,17367,0.180,False
12/1/2022 4:00:00 AM,11/30/2022 11:00:00 PM,Gas,34086,0.360,False
12/1/2022 4:00:00 AM,11/30/2022 11:00:00 PM,Hydro,1041,0.010,True
12/1/2022 4:00:00 AM,11/30/2022 11:00:00 PM,Multiple Fuels,3,0.000,False
12/1/2022 4:00:00 AM,11/30/2022 11:00:00 PM,Nuclear,32965,0.350,False
12/1/2022 4:00:00 AM,11/30/2022 11:00:00 PM,Oil,95,0.000,False
12/1/2022 4:00:00 AM,11/30/2022 11:00:00 PM,Other,47,0.000,False
12/1/2022 4:00:00 AM,11/30/2022 11:00:00 PM,Other Renewables,748,0.010,True
12/1/2022 4:00:00 AM,11/30/2022 11:00:00 PM,Solar,15,0.000,True
12/1/2022 4:00:00 AM,11/30/2022 11:00:00 PM,Storage,0,0.000,False
12/1/2022 4:00:00 AM,11/30/2022 11:00:00 PM,Wind,8109,0.090,True
12/1/2022 3:00:00 AM,11/30/2022 10:00:00 PM,Coal,17897,0.180,False
12/1/2022 3:00:00 AM,11/30/2022 10:00:00 PM,Gas,37703,0.380,False
12/1/2022 3:00:00 AM,11/30/2022 10:00:00 PM,Hydro,1069,0.010,True
12/1/2022 3:00:00 AM,11/30/2022 10:00:00 PM,Multiple Fuels,3,0.000,False
12/1/2022 3:00:00 AM,11/30/2022 10:00:00 PM,Nuclear,32964,0.330,False
12/1/2022 3:00:00 AM,11/30/2022 10:00:00 PM,Oil,96,0.000,False
12/1/2022 3:00:00 AM,11/30/2022 10:00:00 PM,Other,47,0.000,False
12/1/2022 3:00:00 AM,11/30/2022 10:00:00 PM,Other Renewables,733,0.010,True
12/1/2022 3:00:00 AM,11/30/2022 10:00:00 PM,Solar,15,0.000,True
12/1/2022 3:00:00 AM,11/30/2022 10:00:00 PM,Storage,0,0.000,False
12/1/2022 3:00:00 AM,11/30/2022 10:00:00 PM,Wind,8362,0.080,True
12/1/2022 2:00:00 AM,11/30/2022 9:00:00 PM,Coal,18891,0.180,False
12/1/2022 2:00:00 AM,11/30/2022 9:00:00 PM,Gas,39897,0.390,False
12/1/2022 2:00:00 AM,11/30/2022 9:00:00 PM,Hydro,1467,0.010,True
12/1/2022 2:00:00 AM,11/30/2022 9:00:00 PM,Multiple Fuels,3,0.000,False
