datetime_beginning_utc,datetime_beginning_ept,pnode_name,pnode_id,marginal_co2_rate,marginal_so2_rate,marginal_nox_rate
4/1/2023 3:55:00 AM,3/31/2023 11:55:00 PM,DOM,34964545,2351.341979,1.453424,3.223355
4/1/2023 3:50:00 AM,3/31/2023 11:50:00 PM,DOM,34964545,0.000000,0.000000,0.000000
4/1/2023 3:45:00 AM,3/31/2023 11:45:00 PM,DOM,34964545,2369.297377,0.901069,0.925204
4/1/2023 3:40:00 AM,3/31/2023 11:40:00 PM,DOM,34964545,0.000000,0.000000,0.000000
4/1/2023 3:35:00 AM,3/31/2023 11:35:00 PM,DOM,34964545,2380.385282,1.358893,2.048715
4/1/2023 3:30:00 AM,3/31/2023 11:30:00 PM,DOM,34964545,2182.611185,0.925894,0.862438
4/1/2023 3:25:00 AM,3/31/2023 11:25:00 PM,DOM,34964545,2204.166628,1.190207,1.057762
4/1/2023 3:20:00 AM,3/31/2023 11:20:00 PM,DOM,34964545,0.000000,0.000000,0.000000
4/1/2023 3:15:00 AM,3/31/2023 11:15:00 PM,DOM,34964545,864.426796,0.004380,0.076033
4/1/2023 3:10:00 AM,3/31/2023 11:10:00 PM,DOM,34964545,0.000000,0.000000,0.000000
4/1/2023 3:05:00 AM,3/31/2023 11:05:00 PM,DOM,34964545,868.587388,0.004413,0.035099
4/1/2023 3:00:00 AM,3/31/2023 11:00:00 PM,DOM,34964545,852.433008,0.004270,0.031928
4/1/2023 2:55:00 AM,3/31/2023 10:55:00 PM,DOM,34964545,734.251947,0.003710,0.053967
4/1/2023 2:50:00 AM,3/31/2023 10:50:00 PM,DOM,34964545,827.121200,0.000705,0.035585
4/1/2023 2:45:00 AM,3/31/2023 10:45:00 PM,DOM,34964545,983.031438,0.026895,22.512630
4/1/2023 2:40:00 AM,3/31/2023 10:40:00 PM,DOM,34964545,1100.793159,0.006076,0.308336
4/1/2023 2:35:00 AM,3/31/2023 10:35:00 PM,DOM,34964545,855.894390,0.004288,0.032058
4/1/2023 2:30:00 AM,3/31/2023 10:30:00 PM,DOM,34964545,743.301870,0.003713,0.053681
4/1/2023 2:25:00 AM,3/31/2023 10:25:00 PM,DOM,34964545,916.590505,0.004674,0.053652
4/1/2023 2:20:00 AM,3/31/2023 10:20:00 PM,DOM,34964545,934.604109,0.004756,0.078588
4/1/2023 2:15:00 AM,3/31/2023 10:15:00 PM,DOM,34964545,756.927974,0.003789,0.068286
4/1/2023 2:10:00 AM,3/31/2023 10:10:00 PM,DOM,34964545,877.363305,0.004411,0.071743
4/1/2023 2:05:00 AM,3/31/2023 10:05:00 PM,DOM,34964545,915.556080,0.004669,0.053591
4/1/2023 2:00:00 AM,3/31/2023 10:00:00 PM,DOM,34964545,915.556080,0.004669,0.053591
4/1/2023 1:55:00 AM,3/31/2023 9:55:00 PM,DOM,34964545,915.556080,0.004669,0.053591
4/1/2023 1:50:00 AM,3/31/2023 9:50:00 PM,DOM,34964545,2374.685028,1.347346,2.163724
4/1/2023 1:45:00 AM,3/31/2023 9:45:00 PM,DOM,34964545,1693.373648,0.008596,0.130479
4/1/2023 1:40:00 AM,3/31/2023 9:40:00 PM,DOM,34964545,1457.131295,0.007449,1.158112
4/1/2023 1:35:00 AM,3/31/2023 9:35:00 PM,DOM,34964545,1535.511774,0.007813,0.089909
4/1/2023 1:30:00 AM,3/31/2023 9:30:00 PM,DOM,34964545,1535.511774,0.007813,0.089909
4/1/2023 1:25:00 AM,3/31/2023 9:25:00 PM,DOM,34964545,1359.003163,0.006897,0.078920
4/1/2023 1:20:00 AM,3/31/2023 9:20:00 PM,DOM,34964545,2146.814820,1.098035,2.960110
4/1/2023 1:15:00 AM,3/31/2023 9:15:00 PM,DOM,34964545,2282.309528,2.604426,0.898164
4/1/2023 1:10:00 AM,3/31/2023 9:10:00 PM,DOM,34964545,851.891460,0.004268,0.031908
4/1/2023 1:05:00 AM,3/31/2023 9:05:00 PM,DOM,34964545,1019.533662,0.007968,0.233952
4/1/2023 1:00:00 AM,3/31/2023 9:00:00 PM,DOM,34964545,852.213371,0.004269,0.031920
4/1/2023 12:55:00 AM,3/31/2023 8:55:00 PM,DOM,34964545,797.866484,0.001878,0.037578
4/1/2023 12:50:00 AM,3/31/2023 8:50:00 PM,DOM,34964545,863.627347,0.004325,0.080268
4/1/2023 12:45:00 AM,3/31/2023 8:45:00 PM,DOM,34964545,884.885924,0.004432,0.057419
4/1/2023 12:40:00 AM,3/31/2023 8:40:00 PM,DOM,34964545,2229.948346,0.813519,1.603863
4/1/2023 12:35:00 AM,3/31/2023 8:35:00 PM,DOM,34964545,1552.000117,0.007931,3.116796
4/1/2023 12:30:00 AM,3/31/2023 8:30:00 PM,DOM,34964545,1872.471523,0.010075,4.166359
4/1/2023 12:25:00 AM,3/31/2023 8:25:00 PM,DOM,34964545,925.008760,0.004624,0.105520
4/1/2023 12:20:00 AM,3/31/2023 8:20:00 PM,DOM,34964545,1537.793250,0.007859,3.088266
4/1/2023 12:15:00 AM,3/31/2023 8:15:00 PM,DOM,34964545,1679.474168,0.008525,0.129408
4/1/2023 12:10:00 AM,3/31/2023 8:10:00 PM,DOM,34964545,2192.135130,1.178878,0.839467
4/1/2023 12:05:00 AM,3/31/2023 8:05:00 PM,DOM,34964545,2174.137460,0.414166,1.204820
4/1/2023 12:00:00 AM,3/31/2023 8:00:00 PM,DOM,34964545,1562.810734,0.008098,2.869672
3/31/2023 11:55:00 PM,3/31/2023 7:55:00 PM,DOM,34964545,1476.066063,0.007439,1.175191
3/31/2023 11:50:00 PM,3/31/2023 7:50:00 PM,DOM,34964545,925.003572,0.004624,0.055709
3/31/2023 11:45:00 PM,3/31/2023 7:45:00 PM,DOM,34964545,935.716756,0.004724,0.054972
3/31/2023 11:40:00 PM,3/31/2023 7:40:00 PM,DOM,34964545,934.219502,0.004716,0.054884
3/31/2023 11:35:00 PM,3/31/2023 7:35:00 PM,DOM,34964545,1103.988072,0.006093,0.309231
3/31/2023 11:30:00 PM,3/31/2023 7:30:00 PM,DOM,34964545,918.948538,0.004594,0.055344
3/31/2023 11:25:00 PM,3/31/2023 7:25:00 PM,DOM,34964545,914.324196,0.004653,0.076883
3/31/2023 11:20:00 PM,3/31/2023 7:20:00 PM,DOM,34964545,847.117284,0.004244,0.031729
3/31/2023 11:15:00 PM,3/31/2023 7:15:00 PM,DOM,34964545,0.000000,0.000000,0.000000
3/31/2023 11:10:00 PM,3/31/2023 7:10:00 PM,DOM,34964545,0.000000,0.000000,0.000000
3/31/2023 11:05:00 PM,3/31/2023 7:05:00 PM,DOM,34964545,860.511461,0.004372,0.034773
3/31/2023 11:00:00 PM,3/31/2023 7:00:00 PM,DOM,34964545,797.633355,0.001878,0.037567
3/31/2023 10:55:00 PM,3/31/2023 6:55:00 PM,DOM,34964545,797.134154,0.001878,0.037873
3/31/2023 10:50:00 PM,3/31/2023 6:50:00 PM,DOM,34964545,923.896128,0.004644,0.073050
3/31/2023 10:45:00 PM,3/31/2023 6:45:00 PM,DOM,34964545,843.830905,0.004218,0.044711
3/31/2023 10:40:00 PM,3/31/2023 6:40:00 PM,DOM,34964545,913.970802,0.004651,0.076853
3/31/2023 10:35:00 PM,3/31/2023 6:35:00 PM,DOM,34964545,2411.636971,1.706772,1.294592
3/31/2023 10:30:00 PM,3/31/2023 6:30:00 PM,DOM,34964545,1357.664793,0.006891,0.078842
3/31/2023 10:25:00 PM,3/31/2023 6:25:00 PM,DOM,34964545,2514.587866,0.013983,6.277129
3/31/2023 10:20:00 PM,3/31/2023 6:20:00 PM,DOM,34964545,2509.799951,0.013957,6.265177
3/31/2023 10:15:00 PM,3/31/2023 6:15:00 PM,DOM,34964545,2189.411483,1.182239,1.050682
3/31/2023 10:10:00 PM,3/31/2023 6:10:00 PM,DOM,34964545,1534.201655,0.007696,3.102433
3/31/2023 10:05:00 PM,3/31/2023 6:05:00 PM,DOM,34964545,1365.328394,0.014733,1.236413
3/31/2023 10:00:00 PM,3/31/2023 6:00:00 PM,DOM,34964545,1433.970951,0.007331,1.139704
3/31/2023 9:55:00 PM,3/31/2023 5:55:00 PM,DOM,34964545,1431.408050,0.007318,1.137667
3/31/2023 9:50:00 PM,3/31/2023 5:50:00 PM,DOM,34964545,2440.891402,1.508776,3.346114
3/31/2023 9:45:00 PM,3/31/2023 5:45:00 PM,DOM,34964545,2195.107441,1.185315,1.053415
3/31/2023 9:40:00 PM,3/31/2023 5:40:00 PM,DOM,34964545,2081.088537,1.571859,0.637302
3/31/2023 9:35:00 PM,3/31/2023 5:35:00 PM,DOM,34964545,2378.331049,1.349415,2.167046
3/31/2023 9:30:00 PM,3/31/2023 5:30:00 PM,DOM,34964545,2383.522641,1.352360,2.171777
3/31/2023 9:25:00 PM,3/31/2023 5:25:00 PM,DOM,34964545,2400.418377,1.680846,1.272020
3/31/2023 9:20:00 PM,3/31/2023 5:20:00 PM,DOM,34964545,0.000000,0.000000,0.000000
3/31/2023 9:15:00 PM,3/31/2023 5:15:00 PM,DOM,34964545,1245.989186,0.006234,0.075254
3/31/2023 9:10:00 PM,3/31/2023 5:10:00 PM,DOM,34964545,1245.989186,0.006234,0.075254
3/31/2023 9:05:00 PM,3/31/2023 5:05:00 PM,DOM,34964545,928.304563,0.004686,0.054536
3/31/2023 9:00:00 PM,3/31/2023 5:00:00 PM,DOM,34964545,916.709724,0.004583,0.055209
3/31/2023 8:55:00 PM,3/31/2023 4:55:00 PM,DOM,34964545,863.833609,0.004403,0.052004
3/31/2023 8:50:00 PM,3/31/2023 4:50:00 PM,DOM,34964545,1084.465790,0.005528,0.065286
3/31/2023 8:45:00 PM,3/31/2023 4:45:00 PM,DOM,34964545,1260.792937,0.006389,0.110897
3/31/2023 8:40:00 PM,3/31/2023 4:40:00 PM,DOM,34964545,878.901835,0.004419,0.071869
3/31/2023 8:35:00 PM,3/31/2023 4:35:00 PM,DOM,34964545,912.770512,0.004563,0.054972
3/31/2023 8:30:00 PM,3/31/2023 4:30:00 PM,DOM,34964545,2517.306809,1.009829,1.029151
3/31/2023 8:25:00 PM,3/31/2023 4:25:00 PM,DOM,34964545,2449.978404,1.842931,0.734826
3/31/2023 8:20:00 PM,3/31/2023 4:20:00 PM,DOM,34964545,829.881271,0.004225,0.023376
3/31/2023 8:15:00 PM,3/31/2023 4:15:00 PM,DOM,34964545,2350.404082,0.838733,1.055225
3/31/2023 8:10:00 PM,3/31/2023 4:10:00 PM,DOM,34964545,2165.399190,1.067568,0.573285
3/31/2023 8:05:00 PM,3/31/2023 4:05:00 PM,DOM,34964545,2314.998008,0.456751,1.308187
3/31/2023 8:00:00 PM,3/31/2023 4:00:00 PM,DOM,34964545,2314.998008,0.456751,1.308187
3/31/2023 7:55:00 PM,3/31/2023 3:55:00 PM,DOM,34964545,1193.466696,0.312693,1.552883
3/31/2023 7:50:00 PM,3/31/2023 3:50:00 PM,DOM,34964545,851.695303,0.004282,0.066475
3/31/2023 7:45:00 PM,3/31/2023 3:45:00 PM,DOM,34964545,1080.628019,0.006091,0.306013
3/31/2023 7:40:00 PM,3/31/2023 3:40:00 PM,DOM,34964545,2322.050882,1.304291,1.153637
3/31/2023 7:35:00 PM,3/31/2023 3:35:00 PM,DOM,34964545,809.093688,0.004073,0.083246
3/31/2023 7:30:00 PM,3/31/2023 3:30:00 PM,DOM,34964545,862.474813,0.004334,0.045095
3/31/2023 7:25:00 PM,3/31/2023 3:25:00 PM,DOM,34964545,839.529330,0.004268,0.041970
3/31/2023 7:20:00 PM,3/31/2023 3:20:00 PM,DOM,34964545,908.794552,0.004568,0.071856
3/31/2023 7:15:00 PM,3/31/2023 3:15:00 PM,DOM,34964545,887.449076,0.004445,0.057585
3/31/2023 7:10:00 PM,3/31/2023 3:10:00 PM,DOM,34964545,830.069207,0.004241,0.041901
3/31/2023 7:05:00 PM,3/31/2023 3:05:00 PM,DOM,34964545,905.994723,0.004529,0.054564
3/31/2023 7:00:00 PM,3/31/2023 3:00:00 PM,DOM,34964545,918.457372,0.004637,0.053958
3/31/2023 6:55:00 PM,3/31/2023 2:55:00 PM,DOM,34964545,829.574188,0.004239,0.041876
3/31/2023 6:50:00 PM,3/31/2023 2:50:00 PM,DOM,34964545,729.203092,0.003642,0.052663
