datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable
2/1/2023 4:00:00 AM,1/31/2023 11:00:00 PM,Coal,19862,0.190,False
2/1/2023 4:00:00 AM,1/31/2023 11:00:00 PM,Gas,45739,0.450,False
2/1/2023 4:00:00 AM,1/31/2023 11:00:00 PM,Hydro,1033,0.010,True
2/1/2023 4:00:00 AM,1/31/2023 11:00:00 PM,Multiple Fuels,336,0.000,False
2/1/2023 4:00:00 AM,1/31/2023 11:00:00 PM,Nuclear,33239,0.330,False
2/1/2023 4:00:00 AM,1/31/2023 11:00:00 PM,Oil,201,0.000,False
2/1/2023 4:00:00 AM,1/31/2023 11:00:00 PM,Other,149,0.000,False
2/1/2023 4:00:00 AM,1/31/2023 11:00:00 PM,Other Renewables,626,0.000,True
2/1/2023 4:00:00 AM,1/31/2023 11:00:00 PM,Solar,4,0.000,True
2/1/2023 4:00:00 AM,1/31/2023 11:00:00 PM,Storage,0,0.000,False
2/1/2023 4:00:00 AM,1/31/2023 11:00:00 PM,Wind,698,0.010,True
2/1/2023 3:00:00 AM,1/31/2023 10:00:00 PM,Coal,20481,0.190,False
2/1/2023 3:00:00 AM,1/31/2023 10:00:00 PM,Gas,48406,0.460,False
2/1/2023 3:00:00 AM,1/31/2023 10:00:00 PM,Hydro,1099,0.010,True
2/1/2023 3:00:00 AM,1/31/2023 10:00:00 PM,Multiple Fuels,647,0.010,False
2/1/2023 3:00:00 AM,1/31/2023 10:00:00 PM,Nuclear,33215,0.310,False
2/1/2023 3:00:00 AM,1/31/2023 10:00:00 PM,Oil,416,0.000,False
2/1/2023 3:00:00 AM,1/31/2023 10:00:00 PM,Other,149,0.000,False
2/1/2023 3:00:00 AM,1/31/2023 10:00:00 PM,Other Renewables,622,0.000,True
2/1/2023 3:00:00 AM,1/31/2023 10:00:00 PM,Solar,4,0.000,True
2/1/2023 3:00:00 AM,1/31/2023 10:00:00 PM,Storage,0,0.000,False
2/1/2023 3:00:00 AM,1/31/2023 10:00:00 PM,Wind,593,0.010,True
2/1/2023 2:00:00 AM,1/31/2023 9:00:00 PM,Coal,21705,0.200,False
2/1/2023 2:00:00 AM,1/31/2023 9:00:00 PM,Gas,50448,0.460,False
2/1/2023 2:00:00 AM,1/31/2023 9:00:00 PM,Hydro,1478,0.010,True
2/1/2023 2:00:00 AM,1/31/2023 9:00:00 PM,Multiple Fuels,794,0.010,False
2/1/2023 2:00:00 AM,1/31/2023 9:00:00 PM,Nuclear,33231,0.300,False
2/1/2023 2:00:00 AM,1/31/2023 9:00:00 PM,Oil,389,0.000,False
2/1/2023 2:00:00 AM,1/31/2023 9:00:00 PM,Other,148,0.000,False
2/1/2023 2:00:00 AM,1/31/2023 9:00:00 PM,Other Renewables,614,0.000,True
2/1/2023 2:00:00 AM,1/31/2023 9:00:00 PM,Solar,4,0.000,True
2/1/2023 2:00:00 AM,1/31/2023 9:00:00 PM,Storage,0,0.000,False
2/1/2023 2:00:00 AM,1/31/2023 9:00:00 PM,Wind,550,0.010,True
2/1/2023 1:00:00 AM,1/31/2023 8:00:00 PM,Coal,22273,0.200,False
2/1/2023 1:00:00 AM,1/31/2023 8:00:00 PM,Gas,51991,0.460,False
2/1/2023 1:00:00 AM,1/31/2023 8:00:00 PM,Hydro,2570,0.020,True
2/1/2023 1:00:00 AM,1/31/2023 8:00:00 PM,Multiple Fuels,793,0.010,False
2/1/2023 1:00:00 AM,1/31/2023 8:00:00 PM,Nuclear,33230,0.300,False
2/1/2023 1:00:00 AM,1/31/2023 8:00:00 PM,Oil,370,0.000,False
2/1/2023 1:00:00 AM,1/31/2023 8:00:00 PM,Other,152,0.000,False
2/1/2023 1:00:00 AM,1/31/2023 8:00:00 PM,Other Renewables,606,0.000,True
2/1/2023 1:00:00 AM,1/31/2023 8:00:00 PM,Solar,4,0.000,True
2/1/2023 1:00:00 AM,1/31/2023 8:00:00 PM,Storage,0,0.000,False
2/1/2023 1:00:00 AM,1/31/2023 8:00:00 PM,Wind,530,0.000,True
2/1/2023 12:00:00 AM,1/31/2023 7:00:00 PM,Coal,21888,0.190,False
2/1/2023 12:00:00 AM,1/31/2023 7:00:00 PM,Gas,52119,0.460,False
2/1/2023 12:00:00 AM,1/31/2023 7:00:00 PM,Hydro,4478,0.040,True
2/1/2023 12:00:00 AM,1/31/2023 7:00:00 PM,Multiple Fuels,792,0.010,False
2/1/2023 12:00:00 AM,1/31/2023 7:00:00 PM,Nuclear,33242,0.290,False
2/1/2023 12:00:00 AM,1/31/2023 7:00:00 PM,Oil,372,0.000,False
2/1/2023 12:00:00 AM,1/31/2023 7:00:00 PM,Other,147,0.000,False
2/1/2023 12:00:00 AM,1/31/2023 7:00:00 PM,Other Renewables,602,0.000,True
2/1/2023 12:00:00 AM,1/31/2023 7:00:00 PM,Solar,4,0.000,True
2/1/2023 12:00:00 AM,1/31/2023 7:00:00 PM,Storage,0,0.000,False
2/1/2023 12:00:00 AM,1/31/2023 7:00:00 PM,Wind,511,0.000,True
1/31/2023 11:00:00 PM,1/31/2023 6:00:00 PM,Coal,22713,0.200,False
1/31/2023 11:00:00 PM,1/31/2023 6:00:00 PM,Gas,52521,0.450,False
1/31/2023 11:00:00 PM,1/31/2023 6:00:00 PM,Hydro,4691,0.040,True
1/31/2023 11:00:00 PM,1/31/2023 6:00:00 PM,Multiple Fuels,791,0.010,False
1/31/2023 11:00:00 PM,1/31/2023 6:00:00 PM,Nuclear,33234,0.290,False
1/31/2023 11:00:00 PM,1/31/2023 6:00:00 PM,Oil,417,0.000,False
1/31/2023 11:00:00 PM,1/31/2023 6:00:00 PM,Other,150,0.000,False
1/31/2023 11:00:00 PM,1/31/2023 6:00:00 PM,Other Renewables,599,0.000,True
1/31/2023 11:00:00 PM,1/31/2023 6:00:00 PM,Solar,4,0.000,True
1/31/2023 11:00:00 PM,1/31/2023 6:00:00 PM,Storage,0,0.000,False
1/31/2023 11:00:00 PM,1/31/2023 6:00:00 PM,Wind,340,0.000,True
1/31/2023 10:00:00 PM,1/31/2023 5:00:00 PM,Coal,22418,0.200,False
1/31/2023 10:00:00 PM,1/31/2023 5:00:00 PM,Gas,51317,0.450,False
1/31/2023 10:00:00 PM,1/31/2023 5:00:00 PM,Hydro,3644,0.030,True
1/31/2023 10:00:00 PM,1/31/2023 5:00:00 PM,Multiple Fuels,791,0.010,False
1/31/2023 10:00:00 PM,1/31/2023 5:00:00 PM,Nuclear,33250,0.290,False
1/31/2023 10:00:00 PM,1/31/2023 5:00:00 PM,Oil,448,0.000,False
1/31/2023 10:00:00 PM,1/31/2023 5:00:00 PM,Other,148,0.000,False
1/31/2023 10:00:00 PM,1/31/2023 5:00:00 PM,Other Renewables,591,0.000,True
