datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
2/1/2023 5:00:00 AM,2/1/2023 12:00:00 AM,SERC,SOUTH,DOM,DOM,12990.588,True
2/1/2023 6:00:00 AM,2/1/2023 1:00:00 AM,SERC,SOUTH,DOM,DOM,12835.703,True
2/1/2023 7:00:00 AM,2/1/2023 2:00:00 AM,SERC,SOUTH,DOM,DOM,12833.677,True
2/1/2023 8:00:00 AM,2/1/2023 3:00:00 AM,SERC,SOUTH,DOM,DOM,13072.029,True
2/1/2023 9:00:00 AM,2/1/2023 4:00:00 AM,SERC,SOUTH,DOM,DOM,13483.355,True
2/1/2023 10:00:00 AM,2/1/2023 5:00:00 AM,SERC,SOUTH,DOM,DOM,14337.660,True
2/1/2023 11:00:00 AM,2/1/2023 6:00:00 AM,SERC,SOUTH,DOM,DOM,15492.051,True
2/1/2023 12:00:00 PM,2/1/2023 7:00:00 AM,SERC,SOUTH,DOM,DOM,16129.899,True
2/1/2023 1:00:00 PM,2/1/2023 8:00:00 AM,SERC,SOUTH,DOM,DOM,16347.447,True
2/1/2023 2:00:00 PM,2/1/2023 9:00:00 AM,SERC,SOUTH,DOM,DOM,16123.521,True
2/1/2023 3:00:00 PM,2/1/2023 10:00:00 AM,SERC,SOUTH,DOM,DOM,15798.568,True
2/1/2023 4:00:00 PM,2/1/2023 11:00:00 AM,SERC,SOUTH,DOM,DOM,15444.970,True
2/1/2023 5:00:00 PM,2/1/2023 12:00:00 PM,SERC,SOUTH,DOM,DOM,15198.076,True
2/1/2023 6:00:00 PM,2/1/2023 1:00:00 PM,SERC,SOUTH,DOM,DOM,14851.219,True
2/1/2023 7:00:00 PM,2/1/2023 2:00:00 PM,SERC,SOUTH,DOM,DOM,14583.992,True
2/1/2023 8:00:00 PM,2/1/2023 3:00:00 PM,SERC,SOUTH,DOM,DOM,14518.630,True
2/1/2023 9:00:00 PM,2/1/2023 4:00:00 PM,SERC,SOUTH,DOM,DOM,14928.100,True
2/1/2023 10:00:00 PM,2/1/2023 5:00:00 PM,SERC,SOUTH,DOM,DOM,15866.166,True
2/1/2023 11:00:00 PM,2/1/2023 6:00:00 PM,SERC,SOUTH,DOM,DOM,16502.529,True
2/2/2023 12:00:00 AM,2/1/2023 7:00:00 PM,SERC,SOUTH,DOM,DOM,16532.761,True
2/2/2023 1:00:00 AM,2/1/2023 8:00:00 PM,SERC,SOUTH,DOM,DOM,16406.386,True
2/2/2023 2:00:00 AM,2/1/2023 9:00:00 PM,SERC,SOUTH,DOM,DOM,16032.428,True
2/2/2023 3:00:00 AM,2/1/2023 10:00:00 PM,SERC,SOUTH,DOM,DOM,15414.627,True
2/2/2023 4:00:00 AM,2/1/2023 11:00:00 PM,SERC,SOUTH,DOM,DOM,14834.305,True
2/2/2023 5:00:00 AM,2/2/2023 12:00:00 AM,SERC,SOUTH,DOM,DOM,14504.833,True
2/2/2023 6:00:00 AM,2/2/2023 1:00:00 AM,SERC,SOUTH,DOM,DOM,14332.128,True
2/2/2023 7:00:00 AM,2/2/2023 2:00:00 AM,SERC,SOUTH,DOM,DOM,14236.661,True
2/2/2023 8:00:00 AM,2/2/2023 3:00:00 AM,SERC,SOUTH,DOM,DOM,14304.806,True
2/2/2023 9:00:00 AM,2/2/2023 4:00:00 AM,SERC,SOUTH,DOM,DOM,14485.392,True
2/2/2023 10:00:00 AM,2/2/2023 5:00:00 AM,SERC,SOUTH,DOM,DOM,15237.432,True
2/2/2023 11:00:00 AM,2/2/2023 6:00:00 AM,SERC,SOUTH,DOM,DOM,16319.832,True
2/2/2023 12:00:00 PM,2/2/2023 7:00:00 AM,SERC,SOUTH,DOM,DOM,16932.685,True
2/2/2023 1:00:00 PM,2/2/2023 8:00:00 AM,SERC,SOUTH,DOM,DOM,16997.212,True
2/2/2023 2:00:00 PM,2/2/2023 9:00:00 AM,SERC,SOUTH,DOM,DOM,16847.132,True
2/2/2023 3:00:00 PM,2/2/2023 10:00:00 AM,SERC,SOUTH,DOM,DOM,16583.950,True
2/2/2023 4:00:00 PM,2/2/2023 11:00:00 AM,SERC,SOUTH,DOM,DOM,16135.064,True
2/2/2023 5:00:00 PM,2/2/2023 12:00:00 PM,SERC,SOUTH,DOM,DOM,15627.029,True
2/2/2023 6:00:00 PM,2/2/2023 1:00:00 PM,SERC,SOUTH,DOM,DOM,15304.671,True
2/2/2023 7:00:00 PM,2/2/2023 2:00:00 PM,SERC,SOUTH,DOM,DOM,15025.839,True
2/2/2023 8:00:00 PM,2/2/2023 3:00:00 PM,SERC,SOUTH,DOM,DOM,15127.116,True
2/2/2023 9:00:00 PM,2/2/2023 4:00:00 PM,SERC,SOUTH,DOM,DOM,15496.342,True
2/2/2023 10:00:00 PM,2/2/2023 5:00:00 PM,SERC,SOUTH,DOM,DOM,16044.005,True
2/2/2023 11:00:00 PM,2/2/2023 6:00:00 PM,SERC,SOUTH,DOM,DOM,16138.099,True
2/3/2023 12:00:00 AM,2/2/2023 7:00:00 PM,SERC,SOUTH,DOM,DOM,15992.478,True
2/3/2023 1:00:00 AM,2/2/2023 8:00:00 PM,SERC,SOUTH,DOM,DOM,15686.892,True
2/3/2023 2:00:00 AM,2/2/2023 9:00:00 PM,SERC,SOUTH,DOM,DOM,15148.815,True
2/3/2023 3:00:00 AM,2/2/2023 10:00:00 PM,SERC,SOUTH,DOM,DOM,14405.235,True
2/3/2023 4:00:00 AM,2/2/2023 11:00:00 PM,SERC,SOUTH,DOM,DOM,13825.374,True
2/3/2023 5:00:00 AM,2/3/2023 12:00:00 AM,SERC,SOUTH,DOM,DOM,13363.545,True
2/3/2023 6:00:00 AM,2/3/2023 1:00:00 AM,SERC,SOUTH,DOM,DOM,13188.968,True
2/3/2023 7:00:00 AM,2/3/2023 2:00:00 AM,SERC,SOUTH,DOM,DOM,13095.958,True
2/3/2023 8:00:00 AM,2/3/2023 3:00:00 AM,SERC,SOUTH,DOM,DOM,13175.053,True
2/3/2023 9:00:00 AM,2/3/2023 4:00:00 AM,SERC,SOUTH,DOM,DOM,13446.379,True
2/3/2023 10:00:00 AM,2/3/2023 5:00:00 AM,SERC,SOUTH,DOM,DOM,14225.772,True
2/3/2023 11:00:00 AM,2/3/2023 6:00:00 AM,SERC,SOUTH,DOM,DOM,15296.752,True
2/3/2023 12:00:00 PM,2/3/2023 7:00:00 AM,SERC,SOUTH,DOM,DOM,16012.851,True
2/3/2023 1:00:00 PM,2/3/2023 8:00:00 AM,SERC,SOUTH,DOM,DOM,16056.227,True
2/3/2023 2:00:00 PM,2/3/2023 9:00:00 AM,SERC,SOUTH,DOM,DOM,15775.991,True
