datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable
4/8/2023 3:00:00 AM,4/7/2023 11:00:00 PM,Coal,12221,0.154,False
4/8/2023 3:00:00 AM,4/7/2023 11:00:00 PM,Gas,33149,0.419,False
4/8/2023 3:00:00 AM,4/7/2023 11:00:00 PM,Hydro,1054,0.012,True
4/8/2023 3:00:00 AM,4/7/2023 11:00:00 PM,Multiple Fuels,186,0.000,False
4/8/2023 3:00:00 AM,4/7/2023 11:00:00 PM,Nuclear,28640,0.361,False
4/8/2023 3:00:00 AM,4/7/2023 11:00:00 PM,Oil,210,0.000,False
4/8/2023 3:00:00 AM,4/7/2023 11:00:00 PM,Other Renewables,631,0.010,True
4/8/2023 3:00:00 AM,4/7/2023 11:00:00 PM,Solar,5,0.000,True
4/8/2023 3:00:00 AM,4/7/2023 11:00:00 PM,Storage,0,0.000,False
4/8/2023 3:00:00 AM,4/7/2023 11:00:00 PM,Wind,3002,0.039,True
4/8/2023 2:00:00 AM,4/7/2023 10:00:00 PM,Coal,12437,0.150,False
4/8/2023 2:00:00 AM,4/7/2023 10:00:00 PM,Gas,34604,0.424,False
4/8/2023 2:00:00 AM,4/7/2023 10:00:00 PM,Hydro,1451,0.020,True
4/8/2023 2:00:00 AM,4/7/2023 10:00:00 PM,Multiple Fuels,183,0.000,False
4/8/2023 2:00:00 AM,4/7/2023 10:00:00 PM,Nuclear,28691,0.349,False
4/8/2023 2:00:00 AM,4/7/2023 10:00:00 PM,Oil,262,0.000,False
4/8/2023 2:00:00 AM,4/7/2023 10:00:00 PM,Other Renewables,629,0.010,True
4/8/2023 2:00:00 AM,4/7/2023 10:00:00 PM,Solar,5,0.000,True
4/8/2023 2:00:00 AM,4/7/2023 10:00:00 PM,Storage,0,0.000,False
4/8/2023 2:00:00 AM,4/7/2023 10:00:00 PM,Wind,3439,0.040,True
4/8/2023 1:00:00 AM,4/7/2023 9:00:00 PM,Coal,12602,0.150,False
4/8/2023 1:00:00 AM,4/7/2023 9:00:00 PM,Gas,36123,0.430,False
4/8/2023 1:00:00 AM,4/7/2023 9:00:00 PM,Hydro,2417,0.031,True
4/8/2023 1:00:00 AM,4/7/2023 9:00:00 PM,Multiple Fuels,175,0.000,False
4/8/2023 1:00:00 AM,4/7/2023 9:00:00 PM,Nuclear,28693,0.340,False
4/8/2023 1:00:00 AM,4/7/2023 9:00:00 PM,Oil,386,0.001,False
4/8/2023 1:00:00 AM,4/7/2023 9:00:00 PM,Other Renewables,623,0.010,True
4/8/2023 1:00:00 AM,4/7/2023 9:00:00 PM,Solar,5,0.000,True
4/8/2023 1:00:00 AM,4/7/2023 9:00:00 PM,Storage,0,0.000,False
4/8/2023 1:00:00 AM,4/7/2023 9:00:00 PM,Wind,3066,0.035,True
4/8/2023 12:00:00 AM,4/7/2023 8:00:00 PM,Coal,12670,0.150,False
4/8/2023 12:00:00 AM,4/7/2023 8:00:00 PM,Gas,36495,0.430,False
4/8/2023 12:00:00 AM,4/7/2023 8:00:00 PM,Hydro,3177,0.040,True
4/8/2023 12:00:00 AM,4/7/2023 8:00:00 PM,Multiple Fuels,177,0.000,False
4/8/2023 12:00:00 AM,4/7/2023 8:00:00 PM,Nuclear,28692,0.340,False
4/8/2023 12:00:00 AM,4/7/2023 8:00:00 PM,Oil,366,0.000,False
4/8/2023 12:00:00 AM,4/7/2023 8:00:00 PM,Other Renewables,616,0.010,True
4/8/2023 12:00:00 AM,4/7/2023 8:00:00 PM,Solar,6,0.000,True
4/8/2023 12:00:00 AM,4/7/2023 8:00:00 PM,Storage,0,0.000,False
4/8/2023 12:00:00 AM,4/7/2023 8:00:00 PM,Wind,2493,0.030,True
4/7/2023 11:00:00 PM,4/7/2023 7:00:00 PM,Coal,12340,0.150,False
4/7/2023 11:00:00 PM,4/7/2023 7:00:00 PM,Gas,36071,0.432,False
4/7/2023 11:00:00 PM,4/7/2023 7:00:00 PM,Hydro,2718,0.030,True
4/7/2023 11:00:00 PM,4/7/2023 7:00:00 PM,Multiple Fuels,177,0.000,False
4/7/2023 11:00:00 PM,4/7/2023 7:00:00 PM,Nuclear,28694,0.344,False
4/7/2023 11:00:00 PM,4/7/2023 7:00:00 PM,Oil,408,0.002,False
4/7/2023 11:00:00 PM,4/7/2023 7:00:00 PM,Other Renewables,608,0.010,True
4/7/2023 11:00:00 PM,4/7/2023 7:00:00 PM,Solar,100,0.000,True
4/7/2023 11:00:00 PM,4/7/2023 7:00:00 PM,Storage,0,0.000,False
4/7/2023 11:00:00 PM,4/7/2023 7:00:00 PM,Wind,2106,0.026,True
4/7/2023 10:00:00 PM,4/7/2023 6:00:00 PM,Coal,12282,0.150,False
4/7/2023 10:00:00 PM,4/7/2023 6:00:00 PM,Gas,35711,0.431,False
4/7/2023 10:00:00 PM,4/7/2023 6:00:00 PM,Hydro,2528,0.030,True
4/7/2023 10:00:00 PM,4/7/2023 6:00:00 PM,Multiple Fuels,176,0.000,False
4/7/2023 10:00:00 PM,4/7/2023 6:00:00 PM,Nuclear,28684,0.350,False
4/7/2023 10:00:00 PM,4/7/2023 6:00:00 PM,Oil,394,0.001,False
4/7/2023 10:00:00 PM,4/7/2023 6:00:00 PM,Other Renewables,618,0.010,True
4/7/2023 10:00:00 PM,4/7/2023 6:00:00 PM,Solar,445,0.005,True
4/7/2023 10:00:00 PM,4/7/2023 6:00:00 PM,Storage,0,0.000,False
4/7/2023 10:00:00 PM,4/7/2023 6:00:00 PM,Wind,1815,0.020,True
4/7/2023 9:00:00 PM,4/7/2023 5:00:00 PM,Coal,12240,0.150,False
4/7/2023 9:00:00 PM,4/7/2023 5:00:00 PM,Gas,36351,0.440,False
4/7/2023 9:00:00 PM,4/7/2023 5:00:00 PM,Hydro,1912,0.021,True
4/7/2023 9:00:00 PM,4/7/2023 5:00:00 PM,Multiple Fuels,177,0.000,False
4/7/2023 9:00:00 PM,4/7/2023 5:00:00 PM,Nuclear,28692,0.346,False
4/7/2023 9:00:00 PM,4/7/2023 5:00:00 PM,Oil,401,0.002,False
4/7/2023 9:00:00 PM,4/7/2023 5:00:00 PM,Other Renewables,615,0.010,True
4/7/2023 9:00:00 PM,4/7/2023 5:00:00 PM,Solar,742,0.010,True
4/7/2023 9:00:00 PM,4/7/2023 5:00:00 PM,Storage,0,0.000,False
4/7/2023 9:00:00 PM,4/7/2023 5:00:00 PM,Wind,1854,0.020,True
4/7/2023 8:00:00 PM,4/7/2023 4:00:00 PM,Coal,12177,0.150,False
4/7/2023 8:00:00 PM,4/7/2023 4:00:00 PM,Gas,36324,0.440,False
4/7/2023 8:00:00 PM,4/7/2023 4:00:00 PM,Hydro,1501,0.020,True
4/7/2023 8:00:00 PM,4/7/2023 4:00:00 PM,Multiple Fuels,177,0.000,False
4/7/2023 8:00:00 PM,4/7/2023 4:00:00 PM,Nuclear,28695,0.350,False
4/7/2023 8:00:00 PM,4/7/2023 4:00:00 PM,Oil,395,0.002,False
4/7/2023 8:00:00 PM,4/7/2023 4:00:00 PM,Other Renewables,594,0.010,True
4/7/2023 8:00:00 PM,4/7/2023 4:00:00 PM,Solar,825,0.010,True
4/7/2023 8:00:00 PM,4/7/2023 4:00:00 PM,Storage,0,0.000,False
4/7/2023 8:00:00 PM,4/7/2023 4:00:00 PM,Wind,1812,0.020,True
4/7/2023 7:00:00 PM,4/7/2023 3:00:00 PM,Coal,12276,0.150,False
4/7/2023 7:00:00 PM,4/7/2023 3:00:00 PM,Gas,35874,0.440,False
4/7/2023 7:00:00 PM,4/7/2023 3:00:00 PM,Hydro,1285,0.020,True
4/7/2023 7:00:00 PM,4/7/2023 3:00:00 PM,Multiple Fuels,177,0.000,False
4/7/2023 7:00:00 PM,4/7/2023 3:00:00 PM,Nuclear,28687,0.350,False
4/7/2023 7:00:00 PM,4/7/2023 3:00:00 PM,Oil,401,0.002,False
4/7/2023 7:00:00 PM,4/7/2023 3:00:00 PM,Other Renewables,584,0.010,True
4/7/2023 7:00:00 PM,4/7/2023 3:00:00 PM,Solar,973,0.010,True
4/7/2023 7:00:00 PM,4/7/2023 3:00:00 PM,Storage,0,0.000,False
4/7/2023 7:00:00 PM,4/7/2023 3:00:00 PM,Wind,1804,0.020,True
4/7/2023 6:00:00 PM,4/7/2023 2:00:00 PM,Coal,12477,0.150,False
4/7/2023 6:00:00 PM,4/7/2023 2:00:00 PM,Gas,36722,0.440,False
4/7/2023 6:00:00 PM,4/7/2023 2:00:00 PM,Hydro,1266,0.017,True
4/7/2023 6:00:00 PM,4/7/2023 2:00:00 PM,Multiple Fuels,177,0.000,False
