datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
10/7/2022 4:00:00 AM,10/7/2022 12:00:00 AM,SERC,SOUTH,DOM,DOM,9840.985,True
10/7/2022 5:00:00 AM,10/7/2022 1:00:00 AM,SERC,SOUTH,DOM,DOM,9488.506,True
10/7/2022 6:00:00 AM,10/7/2022 2:00:00 AM,SERC,SOUTH,DOM,DOM,9347.181,True
10/7/2022 7:00:00 AM,10/7/2022 3:00:00 AM,SERC,SOUTH,DOM,DOM,9276.863,True
10/7/2022 8:00:00 AM,10/7/2022 4:00:00 AM,SERC,SOUTH,DOM,DOM,9466.808,True
10/7/2022 9:00:00 AM,10/7/2022 5:00:00 AM,SERC,SOUTH,DOM,DOM,9936.549,True
10/7/2022 10:00:00 AM,10/7/2022 6:00:00 AM,SERC,SOUTH,DOM,DOM,10811.407,True
10/7/2022 11:00:00 AM,10/7/2022 7:00:00 AM,SERC,SOUTH,DOM,DOM,11291.313,True
10/7/2022 12:00:00 PM,10/7/2022 8:00:00 AM,SERC,SOUTH,DOM,DOM,11288.439,True
10/7/2022 1:00:00 PM,10/7/2022 9:00:00 AM,SERC,SOUTH,DOM,DOM,11274.420,True
10/7/2022 2:00:00 PM,10/7/2022 10:00:00 AM,SERC,SOUTH,DOM,DOM,11360.563,True
10/7/2022 3:00:00 PM,10/7/2022 11:00:00 AM,SERC,SOUTH,DOM,DOM,11553.543,True
10/7/2022 4:00:00 PM,10/7/2022 12:00:00 PM,SERC,SOUTH,DOM,DOM,11746.560,True
10/7/2022 5:00:00 PM,10/7/2022 1:00:00 PM,SERC,SOUTH,DOM,DOM,11934.518,True
10/7/2022 6:00:00 PM,10/7/2022 2:00:00 PM,SERC,SOUTH,DOM,DOM,12205.484,True
10/7/2022 7:00:00 PM,10/7/2022 3:00:00 PM,SERC,SOUTH,DOM,DOM,12424.064,True
10/7/2022 8:00:00 PM,10/7/2022 4:00:00 PM,SERC,SOUTH,DOM,DOM,12558.434,True
10/7/2022 9:00:00 PM,10/7/2022 5:00:00 PM,SERC,SOUTH,DOM,DOM,12704.916,True
10/7/2022 10:00:00 PM,10/7/2022 6:00:00 PM,SERC,SOUTH,DOM,DOM,12646.770,True
10/7/2022 11:00:00 PM,10/7/2022 7:00:00 PM,SERC,SOUTH,DOM,DOM,12561.789,True
10/8/2022 12:00:00 AM,10/7/2022 8:00:00 PM,SERC,SOUTH,DOM,DOM,12126.558,True
10/8/2022 1:00:00 AM,10/7/2022 9:00:00 PM,SERC,SOUTH,DOM,DOM,11593.155,True
10/8/2022 2:00:00 AM,10/7/2022 10:00:00 PM,SERC,SOUTH,DOM,DOM,11003.018,True
10/8/2022 3:00:00 AM,10/7/2022 11:00:00 PM,SERC,SOUTH,DOM,DOM,10416.184,True
10/8/2022 4:00:00 AM,10/8/2022 12:00:00 AM,SERC,SOUTH,DOM,DOM,9883.733,True
10/8/2022 5:00:00 AM,10/8/2022 1:00:00 AM,SERC,SOUTH,DOM,DOM,9498.827,True
10/8/2022 6:00:00 AM,10/8/2022 2:00:00 AM,SERC,SOUTH,DOM,DOM,9269.854,True
10/8/2022 7:00:00 AM,10/8/2022 3:00:00 AM,SERC,SOUTH,DOM,DOM,9153.608,True
10/8/2022 8:00:00 AM,10/8/2022 4:00:00 AM,SERC,SOUTH,DOM,DOM,9184.571,True
10/8/2022 9:00:00 AM,10/8/2022 5:00:00 AM,SERC,SOUTH,DOM,DOM,9343.319,True
10/8/2022 10:00:00 AM,10/8/2022 6:00:00 AM,SERC,SOUTH,DOM,DOM,9701.665,True
10/8/2022 11:00:00 AM,10/8/2022 7:00:00 AM,SERC,SOUTH,DOM,DOM,10061.705,True
10/8/2022 12:00:00 PM,10/8/2022 8:00:00 AM,SERC,SOUTH,DOM,DOM,10350.295,True
10/8/2022 1:00:00 PM,10/8/2022 9:00:00 AM,SERC,SOUTH,DOM,DOM,10407.709,True
10/8/2022 2:00:00 PM,10/8/2022 10:00:00 AM,SERC,SOUTH,DOM,DOM,10526.527,True
10/8/2022 3:00:00 PM,10/8/2022 11:00:00 AM,SERC,SOUTH,DOM,DOM,10475.032,True
10/8/2022 4:00:00 PM,10/8/2022 12:00:00 PM,SERC,SOUTH,DOM,DOM,10352.362,True
10/8/2022 5:00:00 PM,10/8/2022 1:00:00 PM,SERC,SOUTH,DOM,DOM,10283.190,True
10/8/2022 6:00:00 PM,10/8/2022 2:00:00 PM,SERC,SOUTH,DOM,DOM,10330.617,True
10/8/2022 7:00:00 PM,10/8/2022 3:00:00 PM,SERC,SOUTH,DOM,DOM,10359.972,True
10/8/2022 8:00:00 PM,10/8/2022 4:00:00 PM,SERC,SOUTH,DOM,DOM,10441.804,True
10/8/2022 9:00:00 PM,10/8/2022 5:00:00 PM,SERC,SOUTH,DOM,DOM,10670.530,True
10/8/2022 10:00:00 PM,10/8/2022 6:00:00 PM,SERC,SOUTH,DOM,DOM,11024.840,True
10/8/2022 11:00:00 PM,10/8/2022 7:00:00 PM,SERC,SOUTH,DOM,DOM,11339.565,True
10/9/2022 12:00:00 AM,10/8/2022 8:00:00 PM,SERC,SOUTH,DOM,DOM,11214.760,True
10/9/2022 1:00:00 AM,10/8/2022 9:00:00 PM,SERC,SOUTH,DOM,DOM,11006.772,True
10/9/2022 2:00:00 AM,10/8/2022 10:00:00 PM,SERC,SOUTH,DOM,DOM,10684.313,True
10/9/2022 3:00:00 AM,10/8/2022 11:00:00 PM,SERC,SOUTH,DOM,DOM,10353.501,True
10/9/2022 4:00:00 AM,10/9/2022 12:00:00 AM,SERC,SOUTH,DOM,DOM,10089.746,True
10/9/2022 5:00:00 AM,10/9/2022 1:00:00 AM,SERC,SOUTH,DOM,DOM,9939.946,True
10/9/2022 6:00:00 AM,10/9/2022 2:00:00 AM,SERC,SOUTH,DOM,DOM,9881.719,True
