datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
3/1/2023 5:00:00 AM,3/1/2023 12:00:00 AM,SERC,SOUTH,DOM,DOM,10985.382,False
3/1/2023 6:00:00 AM,3/1/2023 1:00:00 AM,SERC,SOUTH,DOM,DOM,11040.969,False
3/1/2023 7:00:00 AM,3/1/2023 2:00:00 AM,SERC,SOUTH,DOM,DOM,11132.879,False
3/1/2023 8:00:00 AM,3/1/2023 3:00:00 AM,SERC,SOUTH,DOM,DOM,11374.630,False
3/1/2023 9:00:00 AM,3/1/2023 4:00:00 AM,SERC,SOUTH,DOM,DOM,11834.118,False
3/1/2023 10:00:00 AM,3/1/2023 5:00:00 AM,SERC,SOUTH,DOM,DOM,12729.391,False
3/1/2023 11:00:00 AM,3/1/2023 6:00:00 AM,SERC,SOUTH,DOM,DOM,13900.184,False
3/1/2023 12:00:00 PM,3/1/2023 7:00:00 AM,SERC,SOUTH,DOM,DOM,14261.328,False
3/1/2023 1:00:00 PM,3/1/2023 8:00:00 AM,SERC,SOUTH,DOM,DOM,13472.139,False
3/1/2023 2:00:00 PM,3/1/2023 9:00:00 AM,SERC,SOUTH,DOM,DOM,12737.365,False
3/1/2023 3:00:00 PM,3/1/2023 10:00:00 AM,SERC,SOUTH,DOM,DOM,12333.695,False
3/1/2023 4:00:00 PM,3/1/2023 11:00:00 AM,SERC,SOUTH,DOM,DOM,12133.289,False
3/1/2023 5:00:00 PM,3/1/2023 12:00:00 PM,SERC,SOUTH,DOM,DOM,11987.792,False
3/1/2023 6:00:00 PM,3/1/2023 1:00:00 PM,SERC,SOUTH,DOM,DOM,11791.036,False
3/1/2023 7:00:00 PM,3/1/2023 2:00:00 PM,SERC,SOUTH,DOM,DOM,11653.632,False
3/1/2023 8:00:00 PM,3/1/2023 3:00:00 PM,SERC,SOUTH,DOM,DOM,11674.439,False
3/1/2023 9:00:00 PM,3/1/2023 4:00:00 PM,SERC,SOUTH,DOM,DOM,11844.776,False
3/1/2023 10:00:00 PM,3/1/2023 5:00:00 PM,SERC,SOUTH,DOM,DOM,12455.377,False
3/1/2023 11:00:00 PM,3/1/2023 6:00:00 PM,SERC,SOUTH,DOM,DOM,13004.607,False
3/2/2023 12:00:00 AM,3/1/2023 7:00:00 PM,SERC,SOUTH,DOM,DOM,13110.681,False
3/2/2023 1:00:00 AM,3/1/2023 8:00:00 PM,SERC,SOUTH,DOM,DOM,12991.631,False
3/2/2023 2:00:00 AM,3/1/2023 9:00:00 PM,SERC,SOUTH,DOM,DOM,12597.755,False
3/2/2023 3:00:00 AM,3/1/2023 10:00:00 PM,SERC,SOUTH,DOM,DOM,12035.653,False
3/2/2023 4:00:00 AM,3/1/2023 11:00:00 PM,SERC,SOUTH,DOM,DOM,11495.597,False
3/2/2023 5:00:00 AM,3/2/2023 12:00:00 AM,SERC,SOUTH,DOM,DOM,11140.401,False
3/2/2023 6:00:00 AM,3/2/2023 1:00:00 AM,SERC,SOUTH,DOM,DOM,10884.790,False
3/2/2023 7:00:00 AM,3/2/2023 2:00:00 AM,SERC,SOUTH,DOM,DOM,10751.028,False
3/2/2023 8:00:00 AM,3/2/2023 3:00:00 AM,SERC,SOUTH,DOM,DOM,10718.942,False
3/2/2023 9:00:00 AM,3/2/2023 4:00:00 AM,SERC,SOUTH,DOM,DOM,10872.546,False
3/2/2023 10:00:00 AM,3/2/2023 5:00:00 AM,SERC,SOUTH,DOM,DOM,11511.542,False
3/2/2023 11:00:00 AM,3/2/2023 6:00:00 AM,SERC,SOUTH,DOM,DOM,12393.051,False
3/2/2023 12:00:00 PM,3/2/2023 7:00:00 AM,SERC,SOUTH,DOM,DOM,12840.531,False
3/2/2023 1:00:00 PM,3/2/2023 8:00:00 AM,SERC,SOUTH,DOM,DOM,12825.892,False
3/2/2023 2:00:00 PM,3/2/2023 9:00:00 AM,SERC,SOUTH,DOM,DOM,12449.282,False
3/2/2023 3:00:00 PM,3/2/2023 10:00:00 AM,SERC,SOUTH,DOM,DOM,12155.301,False
3/2/2023 4:00:00 PM,3/2/2023 11:00:00 AM,SERC,SOUTH,DOM,DOM,12107.028,False
3/2/2023 5:00:00 PM,3/2/2023 12:00:00 PM,SERC,SOUTH,DOM,DOM,12059.308,False
3/2/2023 6:00:00 PM,3/2/2023 1:00:00 PM,SERC,SOUTH,DOM,DOM,12098.932,False
3/2/2023 7:00:00 PM,3/2/2023 2:00:00 PM,SERC,SOUTH,DOM,DOM,12019.402,False
3/2/2023 8:00:00 PM,3/2/2023 3:00:00 PM,SERC,SOUTH,DOM,DOM,12031.939,False
3/2/2023 9:00:00 PM,3/2/2023 4:00:00 PM,SERC,SOUTH,DOM,DOM,12134.669,False
