datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
12/1/2022 5:00:00 AM,12/1/2022 12:00:00 AM,SERC,SOUTH,DOM,DOM,12038.932,True
12/1/2022 6:00:00 AM,12/1/2022 1:00:00 AM,SERC,SOUTH,DOM,DOM,12006.833,True
12/1/2022 7:00:00 AM,12/1/2022 2:00:00 AM,SERC,SOUTH,DOM,DOM,12121.227,True
12/1/2022 8:00:00 AM,12/1/2022 3:00:00 AM,SERC,SOUTH,DOM,DOM,12377.311,True
12/1/2022 9:00:00 AM,12/1/2022 4:00:00 AM,SERC,SOUTH,DOM,DOM,12807.137,True
12/1/2022 10:00:00 AM,12/1/2022 5:00:00 AM,SERC,SOUTH,DOM,DOM,13780.430,True
12/1/2022 11:00:00 AM,12/1/2022 6:00:00 AM,SERC,SOUTH,DOM,DOM,15089.249,True
12/1/2022 12:00:00 PM,12/1/2022 7:00:00 AM,SERC,SOUTH,DOM,DOM,15594.448,True
12/1/2022 1:00:00 PM,12/1/2022 8:00:00 AM,SERC,SOUTH,DOM,DOM,14975.091,True
12/1/2022 2:00:00 PM,12/1/2022 9:00:00 AM,SERC,SOUTH,DOM,DOM,14115.652,True
12/1/2022 3:00:00 PM,12/1/2022 10:00:00 AM,SERC,SOUTH,DOM,DOM,13505.298,True
12/1/2022 4:00:00 PM,12/1/2022 11:00:00 AM,SERC,SOUTH,DOM,DOM,13052.547,True
12/1/2022 5:00:00 PM,12/1/2022 12:00:00 PM,SERC,SOUTH,DOM,DOM,12737.004,True
12/1/2022 6:00:00 PM,12/1/2022 1:00:00 PM,SERC,SOUTH,DOM,DOM,12508.578,True
12/1/2022 7:00:00 PM,12/1/2022 2:00:00 PM,SERC,SOUTH,DOM,DOM,12470.375,True
12/1/2022 8:00:00 PM,12/1/2022 3:00:00 PM,SERC,SOUTH,DOM,DOM,12863.346,True
12/1/2022 9:00:00 PM,12/1/2022 4:00:00 PM,SERC,SOUTH,DOM,DOM,13759.992,True
12/1/2022 10:00:00 PM,12/1/2022 5:00:00 PM,SERC,SOUTH,DOM,DOM,14813.053,True
12/1/2022 11:00:00 PM,12/1/2022 6:00:00 PM,SERC,SOUTH,DOM,DOM,15022.133,True
12/2/2022 12:00:00 AM,12/1/2022 7:00:00 PM,SERC,SOUTH,DOM,DOM,15064.381,True
12/2/2022 1:00:00 AM,12/1/2022 8:00:00 PM,SERC,SOUTH,DOM,DOM,15033.198,True
