datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable
4/1/2023 3:00:00 AM,3/31/2023 11:00:00 PM,Coal,9939,0.124,False
4/1/2023 3:00:00 AM,3/31/2023 11:00:00 PM,Gas,31238,0.390,False
4/1/2023 3:00:00 AM,3/31/2023 11:00:00 PM,Hydro,1121,0.010,True
4/1/2023 3:00:00 AM,3/31/2023 11:00:00 PM,Multiple Fuels,3,0.000,False
4/1/2023 3:00:00 AM,3/31/2023 11:00:00 PM,Nuclear,28979,0.363,False
4/1/2023 3:00:00 AM,3/31/2023 11:00:00 PM,Oil,72,0.000,False
4/1/2023 3:00:00 AM,3/31/2023 11:00:00 PM,Other Renewables,587,0.010,True
4/1/2023 3:00:00 AM,3/31/2023 11:00:00 PM,Solar,21,0.000,True
4/1/2023 3:00:00 AM,3/31/2023 11:00:00 PM,Storage,0,0.000,False
4/1/2023 3:00:00 AM,3/31/2023 11:00:00 PM,Wind,7775,0.099,True
4/1/2023 2:00:00 AM,3/31/2023 10:00:00 PM,Coal,10711,0.130,False
4/1/2023 2:00:00 AM,3/31/2023 10:00:00 PM,Gas,33745,0.408,False
4/1/2023 2:00:00 AM,3/31/2023 10:00:00 PM,Hydro,1525,0.015,True
4/1/2023 2:00:00 AM,3/31/2023 10:00:00 PM,Multiple Fuels,3,0.000,False
4/1/2023 2:00:00 AM,3/31/2023 10:00:00 PM,Nuclear,29153,0.353,False
4/1/2023 2:00:00 AM,3/31/2023 10:00:00 PM,Oil,70,0.000,False
4/1/2023 2:00:00 AM,3/31/2023 10:00:00 PM,Other Renewables,593,0.010,True
4/1/2023 2:00:00 AM,3/31/2023 10:00:00 PM,Solar,21,0.000,True
4/1/2023 2:00:00 AM,3/31/2023 10:00:00 PM,Storage,0,0.000,False
4/1/2023 2:00:00 AM,3/31/2023 10:00:00 PM,Wind,6747,0.083,True
4/1/2023 1:00:00 AM,3/31/2023 9:00:00 PM,Coal,10573,0.121,False
4/1/2023 1:00:00 AM,3/31/2023 9:00:00 PM,Gas,35325,0.412,False
4/1/2023 1:00:00 AM,3/31/2023 9:00:00 PM,Hydro,2055,0.021,True
4/1/2023 1:00:00 AM,3/31/2023 9:00:00 PM,Multiple Fuels,3,0.000,False
4/1/2023 1:00:00 AM,3/31/2023 9:00:00 PM,Nuclear,29431,0.343,False
4/1/2023 1:00:00 AM,3/31/2023 9:00:00 PM,Oil,162,0.000,False
4/1/2023 1:00:00 AM,3/31/2023 9:00:00 PM,Other Renewables,591,0.010,True
4/1/2023 1:00:00 AM,3/31/2023 9:00:00 PM,Solar,21,0.000,True
4/1/2023 1:00:00 AM,3/31/2023 9:00:00 PM,Storage,0,0.000,False
4/1/2023 1:00:00 AM,3/31/2023 9:00:00 PM,Wind,7422,0.086,True
4/1/2023 12:00:00 AM,3/31/2023 8:00:00 PM,Coal,10658,0.120,False
4/1/2023 12:00:00 AM,3/31/2023 8:00:00 PM,Gas,36550,0.410,False
4/1/2023 12:00:00 AM,3/31/2023 8:00:00 PM,Hydro,3124,0.035,True
4/1/2023 12:00:00 AM,3/31/2023 8:00:00 PM,Multiple Fuels,3,0.000,False
4/1/2023 12:00:00 AM,3/31/2023 8:00:00 PM,Nuclear,29685,0.332,False
4/1/2023 12:00:00 AM,3/31/2023 8:00:00 PM,Oil,209,0.000,False
4/1/2023 12:00:00 AM,3/31/2023 8:00:00 PM,Other Renewables,591,0.010,True
4/1/2023 12:00:00 AM,3/31/2023 8:00:00 PM,Solar,22,0.000,True
4/1/2023 12:00:00 AM,3/31/2023 8:00:00 PM,Storage,0,0.000,False
4/1/2023 12:00:00 AM,3/31/2023 8:00:00 PM,Wind,8037,0.090,True
3/31/2023 11:00:00 PM,3/31/2023 7:00:00 PM,Coal,10561,0.120,False
3/31/2023 11:00:00 PM,3/31/2023 7:00:00 PM,Gas,35610,0.402,False
3/31/2023 11:00:00 PM,3/31/2023 7:00:00 PM,Hydro,3261,0.039,True
3/31/2023 11:00:00 PM,3/31/2023 7:00:00 PM,Multiple Fuels,3,0.000,False
3/31/2023 11:00:00 PM,3/31/2023 7:00:00 PM,Nuclear,29782,0.340,False
3/31/2023 11:00:00 PM,3/31/2023 7:00:00 PM,Oil,207,0.000,False
3/31/2023 11:00:00 PM,3/31/2023 7:00:00 PM,Other Renewables,593,0.010,True
3/31/2023 11:00:00 PM,3/31/2023 7:00:00 PM,Solar,47,0.000,True
3/31/2023 11:00:00 PM,3/31/2023 7:00:00 PM,Storage,0,0.000,False
3/31/2023 11:00:00 PM,3/31/2023 7:00:00 PM,Wind,8307,0.092,True
3/31/2023 10:00:00 PM,3/31/2023 6:00:00 PM,Coal,11113,0.126,False
3/31/2023 10:00:00 PM,3/31/2023 6:00:00 PM,Gas,36451,0.411,False
3/31/2023 10:00:00 PM,3/31/2023 6:00:00 PM,Hydro,2688,0.029,True
3/31/2023 10:00:00 PM,3/31/2023 6:00:00 PM,Multiple Fuels,3,0.000,False
3/31/2023 10:00:00 PM,3/31/2023 6:00:00 PM,Nuclear,29792,0.339,False
3/31/2023 10:00:00 PM,3/31/2023 6:00:00 PM,Oil,208,0.000,False
3/31/2023 10:00:00 PM,3/31/2023 6:00:00 PM,Other Renewables,580,0.010,True
3/31/2023 10:00:00 PM,3/31/2023 6:00:00 PM,Solar,112,0.000,True
3/31/2023 10:00:00 PM,3/31/2023 6:00:00 PM,Storage,0,0.000,False
3/31/2023 10:00:00 PM,3/31/2023 6:00:00 PM,Wind,7674,0.089,True
3/31/2023 9:00:00 PM,3/31/2023 5:00:00 PM,Coal,11050,0.123,False
3/31/2023 9:00:00 PM,3/31/2023 5:00:00 PM,Gas,36550,0.412,False
3/31/2023 9:00:00 PM,3/31/2023 5:00:00 PM,Hydro,2072,0.020,True
3/31/2023 9:00:00 PM,3/31/2023 5:00:00 PM,Multiple Fuels,3,0.000,False
3/31/2023 9:00:00 PM,3/31/2023 5:00:00 PM,Nuclear,29802,0.339,False
3/31/2023 9:00:00 PM,3/31/2023 5:00:00 PM,Oil,205,0.000,False
3/31/2023 9:00:00 PM,3/31/2023 5:00:00 PM,Other Renewables,601,0.010,True
3/31/2023 9:00:00 PM,3/31/2023 5:00:00 PM,Solar,341,0.001,True
3/31/2023 9:00:00 PM,3/31/2023 5:00:00 PM,Storage,0,0.000,False
3/31/2023 9:00:00 PM,3/31/2023 5:00:00 PM,Wind,7847,0.090,True
3/31/2023 8:00:00 PM,3/31/2023 4:00:00 PM,Coal,11460,0.130,False
3/31/2023 8:00:00 PM,3/31/2023 4:00:00 PM,Gas,36638,0.411,False
3/31/2023 8:00:00 PM,3/31/2023 4:00:00 PM,Hydro,1486,0.018,True
3/31/2023 8:00:00 PM,3/31/2023 4:00:00 PM,Multiple Fuels,3,0.000,False
3/31/2023 8:00:00 PM,3/31/2023 4:00:00 PM,Nuclear,29814,0.339,False
3/31/2023 8:00:00 PM,3/31/2023 4:00:00 PM,Oil,193,0.000,False
3/31/2023 8:00:00 PM,3/31/2023 4:00:00 PM,Other Renewables,599,0.010,True
3/31/2023 8:00:00 PM,3/31/2023 4:00:00 PM,Solar,835,0.010,True
3/31/2023 8:00:00 PM,3/31/2023 4:00:00 PM,Storage,0,0.000,False
3/31/2023 8:00:00 PM,3/31/2023 4:00:00 PM,Wind,7442,0.083,True
3/31/2023 7:00:00 PM,3/31/2023 3:00:00 PM,Coal,11227,0.130,False
3/31/2023 7:00:00 PM,3/31/2023 3:00:00 PM,Gas,35784,0.405,False
3/31/2023 7:00:00 PM,3/31/2023 3:00:00 PM,Hydro,1123,0.010,True
3/31/2023 7:00:00 PM,3/31/2023 3:00:00 PM,Multiple Fuels,3,0.000,False
3/31/2023 7:00:00 PM,3/31/2023 3:00:00 PM,Nuclear,29828,0.340,False
3/31/2023 7:00:00 PM,3/31/2023 3:00:00 PM,Oil,223,0.000,False
3/31/2023 7:00:00 PM,3/31/2023 3:00:00 PM,Other Renewables,595,0.010,True
3/31/2023 7:00:00 PM,3/31/2023 3:00:00 PM,Solar,1431,0.016,True
3/31/2023 7:00:00 PM,3/31/2023 3:00:00 PM,Storage,0,0.000,False
3/31/2023 7:00:00 PM,3/31/2023 3:00:00 PM,Wind,7749,0.089,True
3/31/2023 6:00:00 PM,3/31/2023 2:00:00 PM,Coal,11380,0.130,False
3/31/2023 6:00:00 PM,3/31/2023 2:00:00 PM,Gas,35738,0.400,False
3/31/2023 6:00:00 PM,3/31/2023 2:00:00 PM,Hydro,1176,0.010,True
3/31/2023 6:00:00 PM,3/31/2023 2:00:00 PM,Multiple Fuels,3,0.000,False
3/31/2023 6:00:00 PM,3/31/2023 2:00:00 PM,Nuclear,29850,0.337,False
3/31/2023 6:00:00 PM,3/31/2023 2:00:00 PM,Oil,246,0.000,False
3/31/2023 6:00:00 PM,3/31/2023 2:00:00 PM,Other Renewables,588,0.010,True
3/31/2023 6:00:00 PM,3/31/2023 2:00:00 PM,Solar,1921,0.020,True
3/31/2023 6:00:00 PM,3/31/2023 2:00:00 PM,Storage,0,0.000,False
3/31/2023 6:00:00 PM,3/31/2023 2:00:00 PM,Wind,7812,0.090,True
3/31/2023 5:00:00 PM,3/31/2023 1:00:00 PM,Coal,11931,0.132,False
3/31/2023 5:00:00 PM,3/31/2023 1:00:00 PM,Gas,36172,0.400,False
3/31/2023 5:00:00 PM,3/31/2023 1:00:00 PM,Hydro,1143,0.010,True
3/31/2023 5:00:00 PM,3/31/2023 1:00:00 PM,Multiple Fuels,3,0.000,False
3/31/2023 5:00:00 PM,3/31/2023 1:00:00 PM,Nuclear,29856,0.330,False
3/31/2023 5:00:00 PM,3/31/2023 1:00:00 PM,Oil,240,0.000,False
3/31/2023 5:00:00 PM,3/31/2023 1:00:00 PM,Other Renewables,590,0.010,True
3/31/2023 5:00:00 PM,3/31/2023 1:00:00 PM,Solar,2213,0.023,True
3/31/2023 5:00:00 PM,3/31/2023 1:00:00 PM,Storage,0,0.000,False
3/31/2023 5:00:00 PM,3/31/2023 1:00:00 PM,Wind,8216,0.090,True
3/31/2023 4:00:00 PM,3/31/2023 12:00:00 PM,Coal,11974,0.130,False
3/31/2023 4:00:00 PM,3/31/2023 12:00:00 PM,Gas,36172,0.397,False
